id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
8760355,WELCOME TO MANCHESTER room 2,44247884,Jas,Whalley Range,53.45680279943518,-2.2593194139252084,Private room,19,1,3,2016-04-10,1.64,6,319
7449436,Warm large dbl room nr city centre,36272444,Olivia,Whalley Range,53.45185759058317,-2.2637974941051273,Private room,38,4,3,2015-09-15,0.39,1,359
12319616,1 BED APARTMENT SLEEPS 5,66456893,Joseph,Whalley Range,53.447961549638705,-2.2640007111218643,Entire home/apt,40,7,0,,,1,58
6677010,Tranquil sunny double WR/Chorlton,11064258,Gabrielle (Brie),Whalley Range,53.45180525439045,-2.2580660048098897,Private room,25,1,18,2016-03-20,2.40,5,326
4961242,Comfortable Double Room ,15918273,Sharon,Whalley Range,53.44907131827738,-2.2701015973461036,Private room,45,1,1,2015-02-28,0.07,1,252
8484103,Charming Chorlton Pad,27209066,Anna,Whalley Range,53.44225651087437,-2.2694621372668373,Entire home/apt,59,1,31,2016-03-27,4.77,2,327
4927742,1Bed Apt Near City Slps 4  (cr),12088124,"Nick And Andrea, Just The Place",Whalley Range,53.44833143653545,-2.266609619580543,Entire home/apt,60,1,41,2016-04-07,3.05,22,339
2168591,Bright & cosy small double,11064258,Gabrielle (Brie),Whalley Range,53.45099720751466,-2.2684993338020685,Private room,23,1,47,2015-05-17,2.18,5,281
9640452,Cosy Apartment Near Manchester,20891712,Mohammed,Whalley Range,53.44894271938233,-2.25690314006865,Entire home/apt,110,2,6,2016-03-15,1.31,2,361
11459619,Good value 3 bed house - Manchester,31007738,Sophie,Whalley Range,53.448470041592145,-2.2605597899420298,Entire home/apt,100,2,1,2016-03-09,0.88,1,38
11583088,Quirky artistic double bedroom,20302655,Al & Bob,Whalley Range,53.456900186139045,-2.2588376371632237,Private room,22,1,2,2016-03-16,1.62,1,259
4944995,3 Storey House Near City Slp 12 (r),12088124,"Nick And Andrea, Just The Place",Whalley Range,53.45156928584383,-2.259791144784858,Entire home/apt,150,1,28,2016-04-05,2.23,22,283
4240279,"Budget 2 Bed, Near City  (14)",12088124,"Nick And Andrea, Just The Place",Whalley Range,53.452271889494455,-2.2674019631032203,Entire home/apt,60,1,41,2016-04-04,2.36,22,314
1617091,single room in Whalley Range,1844177,Elisa,Whalley Range,53.45264116842716,-2.264618202796583,Private room,20,1,0,,,1,362
2525649,Large 5 Bed Near City Ctr Sleeps 12,12088124,"Nick And Andrea, Just The Place",Whalley Range,53.44721177805703,-2.26240293987805,Entire home/apt,170,1,29,2016-03-30,1.17,22,312
1998897,Spacious apartment by the park,6851542,Quick,Whalley Range,53.44771750993502,-2.250524274083554,Entire home/apt,149,1,5,2015-10-25,0.18,6,365
2235260,Comfy Double Room in Whalley Range,6792001,Tina,Whalley Range,53.457062100338845,-2.259189372887227,Private room,32,1,48,2016-03-19,3.30,1,343
